名称,获利比例（%）,平均成本（元）,90%集中度（%）,90%成本最低价格（元）,90%成本最高价格（元）,70%集中度（%）,70%成本最低价格（元）,70%成本最高价格（元）
N豪悦,100,82.23,6.16,77.12,87.24,4.09,78.82,85.54
N森麒麟,100,25.04,6.16,23.48,26.57,4.09,24,26.05
N立昂微,100,6.49,6.16,6.09,6.89,4.16,6.22,6.76
金科文化,76.81,4.64,28.08,3.33,5.93,17.03,3.91,5.52
珈伟新能,58.57,5.03,30.96,3.3,6.26,25.06,3.6,6.01
翰宇药业,92.33,8.28,20.51,6.15,9.32,8.5,7.44,8.82
卡倍亿,65.76,69.62,19.21,62.41,92.08,10.52,64.81,80.05
海能实业,94.74,59.15,9,53.34,63.9,5.64,55.19,61.79
锦浪科技,88.66,94.18,29.57,57.61,105.98,15.08,74.72,101.26
金太阳,100,25.97,12.35,21.49,27.54,6.11,23.76,26.85
英飞特,99.75,15.86,14.24,12.92,17.21,9.34,14.03,16.92
阳光电源,100,20.06,35.57,10.74,22.6,25.74,12.87,21.79
恒泰艾普,65.91,6.32,37.17,3.52,7.69,22.52,4.67,7.39
泰胜风能,84.38,6.8,24.65,4.79,7.93,8.43,6.29,7.45
天能重工,100,12.69,17.78,9.81,14.05,12.59,10.54,13.58
南京聚隆,99.84,37.81,9.82,32.67,39.79,4.64,35.54,39
中信博,99.97,92.94,12.18,79.87,102.02,9.25,82.53,99.36
福昕软件,98.32,326.64,7.82,302.68,354.03,4.61,312.95,343.19
固德威,95.85,120.89,9.62,108.47,131.56,6.28,112.94,128.09
富瑞特装,68.8,6.37,24.38,4.88,8.02,12.56,5.78,7.44
开能健康,72.39,5.52,19.99,4.3,6.45,13.1,4.8,6.24
奥特维,97.91,74.01,13.6,60.04,78.94,7.4,66.82,77.5
上能电气,60.95,52.52,8.21,47.8,56.35,6,49.37,55.67
坚瑞沃能,57.75,3.77,47.95,1.73,4.92,22.35,2.92,4.59
金春股份,53.83,54.71,21.21,48.98,75.34,12.36,50.13,64.26
达刚控股,94.43,12.18,17.71,9.37,13.4,10.5,10.59,13.08
捷佳伟创,89.15,86.47,30.19,52.05,97.06,17.26,65.29,92.52
华信新材,77.07,18.12,11.52,16.78,21.16,7.46,17.29,20.08
力星股份,59.01,7.8,17.15,6.17,8.72,10.6,6.88,8.51
欧陆通,62.82,78.27,9.97,72.65,88.74,5.22,74.18,82.35
康跃科技,91.38,14.99,24.94,11.49,19.13,19.01,12.37,18.17
吉药控股,37.34,4.96,28.03,3.44,6.12,19.02,4.06,5.97
东方日升,66.29,16.22,11.01,14.93,18.62,6.94,15.64,17.97
康泰医学,39.14,76.05,17.92,67.39,96.82,12.11,69.12,88.16
英唐智控,32.48,7.8,14.88,6.52,8.8,11.34,6.77,8.51
朗科智能,87.23,14.9,8.42,13.58,16.08,5.84,14.03,15.77
九洲集团,58.56,7.79,9.71,6.86,8.34,6.53,7.21,8.21
通裕重工,67.88,5,31.64,3.19,6.14,21.29,3.83,5.91
润和软件,97.26,13.6,10.42,11.65,14.35,6.64,12.31,14.06
金石亚药,80.91,8.68,17.21,7.39,10.47,12.62,7.89,10.17
鹏翎股份,32.42,5.57,14.12,4.77,6.34,10.28,5.01,6.15
安克创新,58.15,127.29,10.27,117.69,144.63,7.8,119.9,140.2
南风股份,38.75,8.25,25.53,5.56,9.36,19.29,6.11,9.03
利亚德,94,8.06,16.92,6.18,8.69,11.07,6.78,8.46
雪浪环境,53.03,8.54,17.78,6.99,10.01,13.75,7.36,9.7
怡球资源,99.26,2.33,17.05,1.8,2.54,9.01,2.07,2.48
吉鑫科技,99.31,3.25,12.93,2.76,3.58,8.15,2.93,3.45
章源钨业,99.91,5.27,15.72,4.18,5.74,9.02,4.7,5.63
银龙股份,82.38,4.5,10.31,4.02,4.94,4.97,4.26,4.7
海航基础,99.8,7.63,10.07,6.78,8.29,6.24,7.12,8.07
圣济堂,98.09,3.03,10.9,2.78,3.46,8.06,2.85,3.35
佰仁医疗,22.17,100.21,22.04,83.91,131.35,10.45,92.06,113.56
华峰铝业,100,7.34,5.24,6.9,7.66,3.53,7.05,7.57
天际股份,60.74,8.03,17.07,6.46,9.12,13.84,6.65,8.79
